"Schweiz. Bundesrat";;;"Botschaft über erste Massnahmen zur Neuverteilung der Aufgaben zwischen Bund und Kantonen";;;;0;0;Druckerzeugnis;0;Haupt-Bibliothek;"WB 142 2";Bern;"Bundesamt für Justiz";1981;WB;;;"Uebrige Literatur";"Oeffentliches Recht";0;found;;(DE-627)056687095
"Studienkommission für die Neuverteilung der Aufgaben zwischen Bund und Kantonen";;;"Erste Vorschläge zur Neuverteilung der Aufgaben zwischen Bund und Kantonen";;;;0;163;Druckerzeugnis;0;Haupt-Bibliothek;"WB 142 1";Bern;"Bundesamt für Justiz";1979;WB;;;"Uebrige Literatur";"Oeffentliches Recht";0;found;;(DE-627)1619784602
"Friedrich Carl J.";;;"Trends of Federalism in Theory and Practice";;;;0;185;Druckerzeugnis;0;Haupt-Bibliothek;"WB 111";"New York";"Frederick A. Praeger";1968;WB;;;"Uebrige Literatur";"Oeffentliches Recht";0;found;;(DE-627)1139634038
"Nathan Richard P.";"Manvel Allen D.";"Calkins Susannah E.";"Monitoring Revenue Sharing";;;;0;391;Druckerzeugnis;"The Brookings Institution";Haupt-Bibliothek;"UE 112";Washington;"Brookings Institution";1975;YL4;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Finanzausgleich;found;;(DE-627)020190204
"Staatskanzlei Luzern";;;"Luzerner Gerichts- und Verwaltungsentscheide (LGVE) 1999";;;;-;450;Druckerzeugnis;0;Haupt-Bibliothek;"HB 203 3";Luzern;;2000;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Staatskanzlei Luzern";;;"Luzerner Gerichts- und Verwaltungsentscheide (LGVE) 1993";;;;-;367;Druckerzeugnis;0;Haupt-Bibliothek;"HB 203 3";Luzern;;1994;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
;;;"Steuerpraxis des Kantons Schwyz (StPS) 1993";;;;0;0;Druckerzeugnis;"2 Hefte";"HB Steuerrecht";"Z 315";Schwyz;"Kantonale Steuerverwaltung";1993;Z;;;Zeitschriften;0;0;ignore
;;;"Steuerpraxis des Kantons Schwyz (StPS) 1984";;;;0;0;Druckerzeugnis;"4 Hefte";"HB Steuerrecht";"Z 315";Schwyz;"Kantonale Steuerverwaltung";1984;Z;;;Zeitschriften;0;0;ignore
;;;Jusletter;;;;1424-7410;;Online-Publikation;"http://jusletter.weblaw.ch/juslissues/2014/779.html Jahresregister: http://www.weblaw.ch/jusletter/jahresregister.asp Die Rechtsgebiete: http://jusletter.weblaw.ch/category?lang=de";Internet;"Z 195";Bern;"Weblaw GmbH";online;Z;;;Zeitschriften;0;0;ignore
"Staatskanzlei Schwyz";;;"Entscheide der Gerichts- und Verwaltungsbehörden des Kantons Schwyz 1995";;;;-;165;Druckerzeugnis;0;Haupt-Bibliothek;"HB 205 2";Schwyz;Staatskanzlei;1996;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Staatskanzlei Schwyz";;;"Entscheide der Gerichts- und Verwaltungsbehörden des Kantons Schwyz 1985";;;;-;172;Druckerzeugnis;0;Haupt-Bibliothek;"HB 205 2";Schwyz;Staatskanzlei;1986;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Staatskanzlei Schwyz";;;"Entscheide der Gerichts- und Verwaltungsbehörden des Kantons Schwyz 1976";;;;-;88;Druckerzeugnis;0;Haupt-Bibliothek;"HB 205 2";Schwyz;Staatskanzlei;1977;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Staatskanzlei des Kantons Zug";;;"Gerichts- und Verwaltungspraxis des Kantons Zug 1985/86";;;;0;221;Druckerzeugnis;0;Haupt-Bibliothek;"HB 209 2";Zug;Staatskanzlei;1987;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Kantonskanzlei Zug";;;"Sammlung der Verwaltungsentscheide des Regierungsrates 1939-1942";;;;-;8;Druckerzeugnis;0;Haupt-Bibliothek;"HB 209 1 03";Zug;Kantonskanzlei;1943;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Mazmanian Daniel A.";"Sabatier Paul A.";;"Effective Policy Implementation";;;;0;206;Druckerzeugnis;"Lexington Books";Haupt-Bibliothek;"TD 174";Lexington;"D.C. Heath";1981;TD;;;"Finanz- und Steuerpolitik (Finanzreform)";Ausland;0;found;;(DE-627)1614436630
IFSt;;;"IFSt-Heft 070";;;;-;45;Druckerzeugnis;"Finanzen und Steuern";Haupt-Bibliothek;"Z 152 070";Bonn;Stollfuss;1963;Z;;;Zeitschriften;0;0;ignore
"Hochschule Speyer";;;"Gemeinschaftsaufgaben zwischen Bund-Ländern und Gemeinden";;;;0;182;Druckerzeugnis;"Schriftenreihe der Hochschule Speyer, Bd. 11";Haupt-Bibliothek;"UB 116";Berlin;"Duncker & Humblot";1961;YL4;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Finanzausgleich;found;;(DE-627)1071570129
;;;"Steuerpraxis des Kantons Schwyz (StPS) 2002";;;;0;0;Druckerzeugnis;"2 Hefte";"HB Steuerrecht";"Z 315";Schwyz;"Kantonale Steuerverwaltung";2002;Z;;;Zeitschriften;0;0;ignore
"Regierungsrat des Kts. Solothurn";;;"Gesetz über den direkten Finanzausgleich (Finanzausgleichsgesetz)";"Bericht und Antrag des Regierungrates";;;-;94;Druckerzeugnis;0;Haupt-Bibliothek;"TB 116";Solothurn;Staatskanzlei;1981;TB;;;"Finanz- und Steuerpolitik (Finanzreform)";Kantone;0;notfound
"Keller Theo";;;"Der Finanzausgleich als staatspolitisches-finanzwirtschaftliches und volkwirtschaftliches Problem";;;;0;15;Druckerzeugnis;0;Separata;"UB Sep. 01";"St. Gallen";"Institut für Finanzwirtschaft und Finanzrecht";1970;YL4;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Finanzausgleich;notfound
"Steuergericht des Kantons Solothurn";;;"Grundsätzliche Entscheide des Solothurnischen Kantonalen Steuergerichts 1990";;;;-;97;Druckerzeugnis;0;Haupt-Bibliothek;"HB 211";Solothurn;Staatskanzlei;1991;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Kantonale Rekurskommission Solothurn";;;"Grundsätzliche Entscheide der Solothurnischen Kantonalen Rekurskommission in Steuersachen 1979";;;;-;140;Druckerzeugnis;0;Haupt-Bibliothek;"HB 211";Solothurn;Staatskanzlei;1980;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Kantonale Rekurskommission Solothurn";;;"Bericht der Solothurnischen Kantonalen Rekurskommission in Steuersachen 1967";;;;-;144;Druckerzeugnis;0;Haupt-Bibliothek;"HB 211";Solothurn;Staatskanzlei;1968;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Lenk Reinhard";;;"Folgelasten kommunaler Investitionen";;;;0;86;Druckerzeugnis;"Der Finanzminister informiert, Heft 15";Separata;"TD Sep. 13";Düsseldorf;"Finanzministerium Nordrhein-Westfalen";1981;TD;;;"Finanz- und Steuerpolitik (Finanzreform)";Ausland;0;found;;(DE-627)1141316951
"Meyer John R.";"Quigley John";;"Local Public Finance and the Fiscal Squeeze";"A Case Study";;;0;194;Druckerzeugnis;0;Haupt-Bibliothek;"TC 116";Cambridge;Ballinger;1977;TC;;;"Finanz- und Steuerpolitik (Finanzreform)";Gemeinden;0;found;;(DE-627)246290463
"Obergericht des Kantons Schaffhausen";;;"Amtsbericht des Obergerichtes an den Grossen Rat des Kantons Schaffhausen 1987";;;;-;190;Druckerzeugnis;0;Haupt-Bibliothek;"HB 214";Schaffhausen;;1988;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Obergericht des Kantons Schaffhausen";;;"Amtsbericht des Obergerichtes an den Grossen Rat des Kantons Schaffhausen 1972";;;;-;103;Druckerzeugnis;0;Haupt-Bibliothek;"HB 214";Schaffhausen;;1973;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Obergericht des Kantons Schaffhausen";;;"Amtsbericht des Obergerichtes an den Grossen Rat des Kantons Schaffhausen 1970";;;;-;77;Druckerzeugnis;0;Haupt-Bibliothek;"HB 214";Schaffhausen;;1971;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Obergericht des Kantons Schaffhausen";;;"Amtsbericht des Obergerichtes an den Grossen Rat des Kantons Schaffhausen 1960";;;;-;63;Druckerzeugnis;0;Haupt-Bibliothek;"HB 214";Schaffhausen;;1961;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
;;;"Basellandschaftliche Steuerpraxis (BStPra) 1979-1981";;;;0;"462 + 19";Druckerzeugnis;"Band VII";"HB Steuerrecht";"Z 035";Liestal;Landschäftler;1981;Z;;;Zeitschriften;0;0;ignore
"Verwaltungsgericht des Kantons Graubünden";;;"Praxis des Verwaltungsgerichts des Kantons Graubünden (GR PVG) 1978";;;;-;232;Druckerzeugnis;0;Haupt-Bibliothek;"HB 218";Chur;Drucksachenzentrale;1979;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Staatskanzlei St. Gallen";;;"St. Gallische Gerichts- und Verwaltungspraxis (SG GVP) 1976";;;;-;164;Druckerzeugnis;0;Haupt-Bibliothek;"HB 217";"St. Gallen";Staatskanzlei;1977;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Staatskanzlei St. Gallen";;;"St. Gallische Gerichts- und Verwaltungspraxis (SG GVP) 1967";;;;-;261;Druckerzeugnis;0;Haupt-Bibliothek;"HB 217";"St. Gallen";Staatskanzlei;1968;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Staatskanzlei St. Gallen";;;"St. Gallische Gerichts- und Verwaltungspraxis (SG GVP) 1957";;;;0;234;Druckerzeugnis;0;Haupt-Bibliothek;"HB 217";"St. Gallen";Staatskanzlei;1958;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Kantonskanzlei Appenzell Ausserrhoden";;;"Ausserrhodische Gerichts- und Verwaltungspraxis (AR GVP) 1999";;;;-;177;Druckerzeugnis;"Bd. 11";Haupt-Bibliothek;"HB 215";Trogen;Kantonskanzlei;2000;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Kantonskanzlei Appenzell Ausserrhoden";;;"Ausserrhodische Gerichts- und Verwaltungspraxis (AR GVP) 1997";;;;-;143;Druckerzeugnis;"Bd. 9";Haupt-Bibliothek;"HB 215";Trogen;Kantonskanzlei;1998;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Kantonskanzlei Appenzell Ausserrhoden";;;"Appenzell A. Rh. Verwaltungspraxis 1965/66-1967/68";;;;-;;Druckerzeugnis;"Entscheide der kant. Steuerrekurskommission, H. XIII";Haupt-Bibliothek;"HB 215";Trogen;Kantonskanzlei;1968;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Verwaltungsgericht des Kantons Thurgau";;;"Thurgauische Verwaltungsrechtspflege (TVR) 1988";;;;0;154;Druckerzeugnis;0;Haupt-Bibliothek;"HB 220";Frauenfeld;Drucksachenzentrale;1989;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Steuerrekurskommission des Kantons Thurgau";;;"Grundsätzliche Entscheide der Jahre 1946-1954";;;;-;72;Druckerzeugnis;0;Haupt-Bibliothek;"HB 220";Frauenfeld;"Kantonale Drucksachenverwaltung";1955;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;notfound
"Verwaltungsgericht des Kantons Graubünden";;;"Praxis des Verwaltungsgerichts des Kantons Graubünden (GR PVG) 2001";;;;-;251;Druckerzeugnis;0;Haupt-Bibliothek;"HB 218";Chur;Drucksachenzentrale;2002;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Verwaltungsgericht des Kantons Graubünden";;;"Praxis des Verwaltungsgerichts des Kantons Graubünden (GR PVG) 1993";;;;-;240;Druckerzeugnis;0;Haupt-Bibliothek;"HB 218";Chur;Drucksachenzentrale;1994;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Verwaltungsgericht des Kantons Graubünden";;;"Praxis des Verwaltungsgerichts des Kantons Graubünden (GR PVG) 1983";;;;-;189;Druckerzeugnis;0;Haupt-Bibliothek;"HB 218";Chur;Drucksachenzentrale;1984;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Verwaltungsgericht des Kantons Graubünden";;;"Praxis des Verwaltungsgerichts des Kantons Graubünden (GR PVG) 1970";;;;-;234;Druckerzeugnis;0;Haupt-Bibliothek;"HB 218";Chur;;1971;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Suter Fritz";;;"Die Einwirkungen der Wirtschaftskonjunktur auf den Finanzhaushalt des Kantons Solothurn in den Jahren 1929-1957";;;;0;123;Druckerzeugnis;"These Neuchâtel";Haupt-Bibliothek;"TB 105";Beromünster;Wallimann;1963;TB;;;"Finanz- und Steuerpolitik (Finanzreform)";Kantone;0;found;;(DE-627)491189109
"Hedtkamp Günter";"Czugunow Nikolai T.";;"Neuere Entwicklungen in der sowjetischen Finanzwirtschaft.";;;;0;83;Druckerzeugnis;"Verflechtung von öffentlichen Einnahmen und Stimmulierungssystemen. Wirtschaft und Gesellschaft, Bd. 14";Haupt-Bibliothek;"TD 171";Tübingen;"J.C.B. Mohr";1980;"TD -";;;"Finanz- und Steuerpolitik (Finanzreform)";Ausland;0;found;;(DE-627)021877092
"Kempen Otto Ernst";;;"Sozialstaatsprinzip und Wirtschaftsordnung";;;;0;247;Druckerzeugnis;"campus Paperbacks: Politik und Gesellschaft";Haupt-Bibliothek;"WB 132";Frankfurt;Campus;1976;WB;;;"Uebrige Literatur";"Oeffentliches Recht";0;found;;(DE-627)021978875
EG-Kommission;;;"Die Wettbewerbspolitik der Kommission 1983";;;;0;6;Druckerzeugnis;"13. Jahresbericht";Separata;"FB Sep. 135";Brüssel;;1984;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";"Finanzwirtschaft supranationaler Behörden";notfound
;;;"Rivista di diritto amministrativo e tributario ticinese 2004";"Vol. II";;;0;826;Druckerzeugnis;0;"HB Steuerrecht";"Z 260";Bellinzona;"Departementi dell'interno e delle finanze";2004;Z;;;Zeitschriften;0;0;ignore
"Verwaltungsgericht des Kantons Thurgau";;;"Thurgauische Verwaltungsrechtspflege (TVR) 1997";;;;0;175;Druckerzeugnis;0;Haupt-Bibliothek;"HB 220";Frauenfeld;"Büromaterial-, Lehrmittel- und Drucksachenzentrale";1998;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Tuchtfeldt Egon";;;"Die Zahlungsbilanz der Schweiz";;;;0;50;Druckerzeugnis;"Information der internationalen Treuhand AG, Heft 79";Separata;"AK Sep. 348";Basel;"Internationale Treuhand";1988;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;found;;(DE-602)kobvindex_DGP259543500
;;;"Gesetz über die Staatsbeiträge an die Gemeinden und über den Finanzaugleich";;;;0;13;Druckerzeugnis;0;Separata;"U Sep. 03";Zürich;;1966;YL4;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Finanzausgleich;notfound
"Institut International de Finances Publiques";;;"Centralisation et Décentralisation des Finances Publiques";;;;0;237;Druckerzeugnis;"Congrès de Istanbul";Haupt-Bibliothek;"UA 104";"La Haye";"Ist. Internat. de Finances Publ.";1962;YL4;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Finanzausgleich;unsafe
"Ardant Gabriel";;;"Histoire de l'impôt";;;;-;634;Druckerzeugnis;"Livre I: de l'Antiquité au XVIIe Siècle";Haupt-Bibliothek;"OG 106 1";Paris;"Librairie Arthème, Paris";1971;OG;;;"Grundbegriffe und Geschichte der Steuern";"Geschichte des Steuerwesens";0;notfound
"Ehrlicher Werner";;;"Kommunaler Finanzausgleich und Raumordnung";;;;0;116;Druckerzeugnis;"Veröffentlichungen der Akademie für Raumforschung und Landesplanung, Bd. 51";Haupt-Bibliothek;"UD 103";Hannover;"Gebrüder Jänecke";1967;YL4;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Finanzausgleich;found;;(DE-627)1071524534
"Blümle Gerold";;;"Verteilungstheorie und makroökonomische Steuerüberwälzungslehre";;;;0;39;Druckerzeugnis;"Dissertation der Universität Basel, 1968";Separata;"CA Sep. 02";Göttingen;"Vandenhoeck & Ruprecht";1968;YL7;YL8;YL9;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre";found;;(DE-627)1145508847
"Frey Rainer";;;"Die kommunalen Aufgaben";;;;3-87831-290-3;87-91;Druckerzeugnis;"in: Friedrich-Ebert-Stiftung (Hrsgl): Kommunale Politik. Rahmenbedingungen, Strukturen, Entscheidungsprozesse";Haupt-Bibliothek;;Bonn;"Neue Gesellschaft";;YL3;YQ;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";"Finanzwirtschaft untergeordneter Gebietskörperschaften";notfound
"Holler Wolfgang";"Steinhart Wilfried";"Stiegler Barbara";Methoden;;;;3-87831-290-3;25-44;Druckerzeugnis;"in: Friedrich-Ebert-Stiftung (Hrsgl): Kommunale Politik. Rahmenbedingungen, Strukturen, Entscheidungsprozesse";Haupt-Bibliothek;;Bonn;"Neue Gesellschaft";;YL3;YQ;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";"Finanzwirtschaft untergeordneter Gebietskörperschaften";notfound
"Seidman Harold";;;"Government-sponsored Enterprise in the United States";;;;"SBN 333.15230.1";83-108;Druckerzeugnis;"in: Smith Bruce L.R. (Hrsg): The New Political Economy: The Public Use of the Private Sector";Haupt-Bibliothek;;"New York";Macmillan;1975;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;notfound
"Eidgenössische Finanzverwaltung";;;"Öffentliche Finanzen der Schweiz 2000";;;;3-303-18068-7;158;Druckerzeugnis;0;Haupt-Bibliothek;"YL7 017";Bern;"Bundesamt für Statistik";2002;YL7;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";ignore
"Prod'hom Per";;;"La TVA en pratique";;;;2-8399-0037-8;425;Druckerzeugnis;"Jurisprudence, commentaires et cas pratiques";Haupt-Bibliothek;"QB 238 1";Genf;"Baker & McKenzie";2005;QB;;;Verbrauchsteuern;Umsatzsteuer;0;notfound
"Reid Beth";;;"Measuring the Impact of Output-Based Payment of Hospitals on the Quality of Care";;;;0;41;Druckerzeugnis;0;Separata;"X Sep. 11";Kensington;"Centre for Hospital Management and Information Systems";1992;YX;;;Wirtschaftswissenschaften;"Sozialpolitik. Gesundheitswesen. Bildungsökonomie";0;notfound
"Haussleiter Otto";;;Verwaltungssoziologie;;;;0;82;Druckerzeugnis;0;Separata;"EA Sep. 04";Baden-Baden;Nomos;1969;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;found;;(DE-627)1071285939
"Letsch Hans";;;"Marktwirtschaft und Steuerreform";;;;0;15;Druckerzeugnis;0;Haupt-Bibliothek;"TA Sep. 71";Zug;"Kündig Druck";1990;"TA Sep. 71";;;"Finanz- und Steuerpolitik (Finanzreform)";Bund;0;found;;(DE-604)BV012574009
"Molitor B.";;;"Instrumentarium der Vermögenspolitik (Nebst Ergänzung)";;;;0;256-266;Druckerzeugnis;"Neue Wissenschaftliche Bibliothek 36 in: Recktenwald H.C.: Finanzpolitik";Haupt-Bibliothek;;Köln;"Kiepenheuer & Witsch";1969;YB;;;Wirtschaftswissenschaften;"Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik";0;notfound
"Verwaltungsgericht des Kantons Graubünden";;;"Praxis des Verwaltungsgerichts des Kantons Graubünden (GR PVG) 1996 ff.";;;;-;;Online-Publikation;http://www.gr.ch/DE/institutionen/verwaltung/dfg/stv/ueberuns/Seiten/default.aspx;Internet;"HB 218";Chur;Drucksachenzentrale;online;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Marquardt Hans-Helmut";;;"Die Ratsgeschäftsordnung";;;;3-87831-290-3;149-153;Druckerzeugnis;"in: Friedrich-Ebert-Stiftung (Hrsgl): Kommunale Politik. Rahmenbedingungen, Strukturen, Entscheidungsprozesse";Haupt-Bibliothek;;Bonn;"Neue Gesellschaft";;YL3;YQ;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";"Finanzwirtschaft untergeordneter Gebietskörperschaften";notfound
"Stiegler Barbara";;;"Das Rollenspiel";;;;3-87831-290-3;358-368;Druckerzeugnis;"in: Friedrich-Ebert-Stiftung (Hrsgl): Kommunale Politik. Rahmenbedingungen, Strukturen, Entscheidungsprozesse";Haupt-Bibliothek;;Bonn;"Neue Gesellschaft";;YL3;YQ;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";"Finanzwirtschaft untergeordneter Gebietskörperschaften";notfound
"Departement des Innern des Kantons St. Gallen";;;"St.Galler Gemeindefinanzen 2003";;;;-;95;Druckerzeugnis;0;Haupt-Bibliothek;"YL3 014";"St. Gallen";"Departement des Innern";2004;YL3;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzwirtschaft untergeordneter Gebietskörperschaften";ignore
